Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Yrs_since_inception,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales
9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,17,Medium,Tier 1,Supermarket Type1,3735.138
5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,7,Medium,Tier 3,Supermarket Type2,443.4228
17.5,Low Fat,0.016760075,Meat,141.618,OUT049,17,Medium,Tier 1,Supermarket Type1,2097.27
19.2,Regular,0,Fruits and Vegetables,182.095,OUT010,18,Medium,Tier 3,Grocery Store,732.38
8.93,Low Fat,0,Household,53.8614,OUT013,29,High,Tier 3,Supermarket Type1,994.7052
10.395,Regular,0,Baking Goods,51.4008,OUT018,7,Medium,Tier 3,Supermarket Type2,556.6088
13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,29,High,Tier 3,Supermarket Type1,343.5528
16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,14,Medium,Tier 2,Supermarket Type1,1076.5986
19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,9,Medium,Tier 2,Supermarket Type1,4710.535
11.8,Low Fat,0,Fruits and Vegetables,45.5402,OUT049,17,Medium,Tier 1,Supermarket Type1,1516.0266
18.5,Regular,0.045463773,Dairy,144.1102,OUT046,19,Small,Tier 1,Supermarket Type1,2187.153
15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,17,Medium,Tier 1,Supermarket Type1,1589.2646
17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,19,Small,Tier 1,Supermarket Type1,2145.2076
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,29,High,Tier 3,Supermarket Type1,1977.426
9,Regular,0.069088961,Breakfast,56.3614,OUT046,19,Small,Tier 1,Supermarket Type1,1547.3192
11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,7,Medium,Tier 3,Supermarket Type2,1621.8888
9,Regular,0.069196376,Breakfast,54.3614,OUT049,17,Medium,Tier 1,Supermarket Type1,718.3982
13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,12,Small,Tier 2,Supermarket Type1,2748.4224
18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,29,High,Tier 3,Supermarket Type1,3775.086
14.6,Low Fat,0.025698134,Household,196.5084,OUT035,12,Small,Tier 2,Supermarket Type1,1587.2672
13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,19,Small,Tier 1,Supermarket Type1,4078.025
13,Low Fat,0.099887103,Household,45.906,OUT017,9,Medium,Tier 2,Supermarket Type1,838.908
7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,12,Small,Tier 2,Supermarket Type1,1065.28
11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,29,High,Tier 3,Supermarket Type1,308.9312
5.925,Regular,0.161466534,Dairy,45.5086,OUT010,18,Medium,Tier 3,Grocery Store,178.4344
19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,18,Medium,Tier 3,Grocery Store,163.7868
18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,7,Medium,Tier 3,Supermarket Type2,2741.7644
18.7,Low Fat,0,Snack Foods,256.6672,OUT018,7,Medium,Tier 3,Supermarket Type2,3068.0064
17.85,Low Fat,0,Breads,93.1436,OUT045,14,Medium,Tier 2,Supermarket Type1,2174.5028
17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,19,Small,Tier 1,Supermarket Type1,2085.2856
